geometry,time
POINT (2.3413908 48.8855727),16/09/2020 AM
POINT (-0.075083 51.4692676),16/09/2020 PM
POINT (2.2764148 48.9070296),18/09/2020 PM
POINT (2.5210669 48.6856935),19/09/2020 AM
POINT (-0.045931 51.5353401),19/09/2020 PM
POINT (-0.0591201 51.5005748),21/09/2020 PM
POINT (2.3838524 48.8865669),25/09/2020 PM
POINT (2.3723262 48.8590438),27/09/2020 PM
POINT (2.4137256 48.895296),28/09/2020 AM
POINT (-0.0044271 51.4808731),28/09/2020 AM
POINT (2.4086161 48.8651328),28/09/2020 PM
POINT (-0.0290181 51.5407629),29/09/2020 AM
POINT (2.3297156 48.8421043),04/10/2020 PM
POINT (2.4118339 48.8867172),04/10/2020 PM
POINT (2.4024564 48.881878),06/10/2020 PM
POINT (-0.0697795 51.4694472),10/10/2020 PM
POINT (-1.0935184 53.9580251),10/10/2020 PM
POINT (2.3855681 48.8911359),11/10/2020 AM
POINT (-0.080512 51.5370946),11/10/2020 PM
POINT (-0.1765557 51.5015264),14/10/2020 AM
POINT (-0.0611122 51.5435334),17/10/2020 AM
POINT (-0.0906654 51.5534608),01/11/2020 PM
POINT (-2.0490303 47.0871442),01/11/2020 PM
POINT (2.3730309 48.8451936),08/11/2020 PM
POINT (2.3103157 48.8578246),12/11/2020 PM
POINT (-0.0823797 51.5299455),15/11/2020 PM
POINT (121.4616051 31.2101095),17/11/2020 PM
POINT (-0.0687819 51.4703977),21/11/2020 PM
POINT (2.3997176 48.8796891),22/11/2020 PM
POINT (-0.0645818 51.4627088),23/11/2020 PM
POINT (2.3989197 48.8470282),28/11/2020 AM
POINT (-0.0758328 51.48761),08/12/2020 PM
POINT (2.3690961 48.8540804),15/12/2020 AM
POINT (2.3500961 48.8620171),28/12/2020 AM
POINT (-0.0767498 51.4741381),28/12/2020 AM
POINT (-0.0981488 51.5053464),28/12/2020 AM
POINT (-0.0884334 51.527378),29/12/2020 PM
POINT (2.7254369 48.4165046),03/01/2021 PM
POINT (-0.0716821 51.5244421),03/01/2021 PM
POINT (2.4117627 48.8802973),03/01/2021 PM
POINT (-0.0565522 51.4941337),08/01/2021 PM
POINT (2.3320358 48.8526202),08/01/2021 PM
POINT (2.3656516 48.874181),08/01/2021 PM
POINT (2.3806123 48.8891569),13/01/2021 AM
POINT (2.3953368 48.8960832),09/02/2021 AM