topic,C2023,C2022,C2021,C2020,C2019
Points,1,1,1,1,1
Lines,1,1,1,1,1
Polygons,1,1,1,1,1
Bad map,1,1,,,
Analog,1,1,1,,
Asia,1,,,,
Navigation,1,,,,
Africa,1,,,,
Hexagons,1,1,1,1,1
North America,1,,,,
Retro,1,,,,
South America,1,,,,
Choropleth,1,,1,,
Europe,1,,,,
OSM,1,1,1,,
Oceania,1,,,,
Flow/Movement,1,1,1,1,1
Atmosphere,1,,,,
5-minute,1,1,,,
Outdoors,1,,,,
Raster,1,1,1,1,1
North not up,1,,,,
3D,1,1,1,1,
B&W,1,,,,1
Antartica,1,,,,
Minimal,1,,,,
Dot,1,,,,
Chart/Map,1,,,,
Population,1,,1,1,1
Favourite,1,1,,,
Green,,1,1,1,1
Ukraine,,1,,,
Network,,1,,,
Space,,1,,,
Red,,1,1,1,1
Scale,,1,,,
Food/drink,,1,,,
Minimal,,1,,,
Blue,,1,1,1,1
Globe,,1,,1,1
Kontur Population Dataset,,1,,,
NULL,,1,1,1,
Fantasy,,1,,,
2-colour,,1,,,
Islands,,1,1,1,
Music,,1,,,
Out of comfort zone,,1,,,
remix,,1,,,
monochrome,,,1,1,
Natural Earth data,,,1,,
new tool,,,1,1,
urban/rural,,,1,,1
land,,,1,,
water,,,1,1,
elevation,,,1,1,1
boundaries,,,1,,1
GHSL data,,,1,,
Historical,,,1,1,
Interactive,,,1,,
heatmap,,,1,,
Earth is not flat,,,1,,
Metamapping,,,1,,
yellow,,,,1,1
grid,,,,1,
not with GIS,,,,1,
climate/climate change,,,,1,1
connections,,,,1,
landuse,,,,1,
COVID19,,,,1,
big or small data,,,,1,
non geographic,,,,1,
"""a map""",,,,1,
tracks,,,,,1
names,,,,,1
places,,,,,1
zones,,,,,1
environment,,,,,1
built environment,,,,,1
statistics,,,,,1
hydrology,,,,,1
resources,,,,,1
funny,,,,,1
experimental,,,,,1
home,,,,,1